#{"t_start": 1777539009.2851279, "env_id": "None"}
r,l,t
-0.129668,10,2.957768
-0.113583,12,2.959366
-0.106039,9,2.960573
-0.23502,30,2.964511
-0.102952,10,2.965917
-0.180592,12,2.967522
-0.204128,25,2.970831
-0.133185,10,2.972221
-0.156396,24,2.975426
-0.085834,8,2.97653
-0.171322,16,2.978713
-0.165921,16,2.980925
-0.171703,19,2.983483
-0.107902,7,2.984446
-0.141356,16,2.986589
-0.235435,20,2.989285
-0.141999,11,2.990795
-0.134099,16,2.99299
-0.145188,13,2.994739
-0.187765,25,2.998124
-0.139468,16,3.000252
-0.1706,13,3.002002
-0.308776,26,3.005479
-0.223552,40,3.010797
-0.370078,44,3.016805
-0.111458,15,3.018842
-0.110319,13,3.020558
-0.099824,17,3.022791
-0.100037,10,3.024136
-0.233353,28,3.02785
-0.182537,29,3.031848
-0.14305,18,3.034256
-0.109756,7,3.035231
-0.185764,16,3.037398
-0.102399,11,3.370625
-0.560282,82,3.382566
-0.201441,20,3.385342
-0.098893,17,3.387691
-0.154325,17,3.390046
-0.139307,20,3.392898
-0.220897,39,3.398267
-0.159673,22,3.401319
-0.10922,8,3.40242
-0.140737,12,3.404103
-0.178001,27,3.40781
-0.135459,23,3.41093
-0.150509,14,3.412849
-0.144608,16,3.415039
-0.353037,34,3.41966
-0.159489,20,3.422401
-0.145438,14,3.424279
-0.162205,16,3.42648
-0.14434,17,3.428842
-0.252813,34,3.433452
-0.157572,16,3.435635
-0.156403,14,3.437571
-0.229691,42,3.44327
-0.130083,12,3.444906
-0.130595,22,3.447923
-0.17374,12,3.44968
-0.302325,29,3.45365
-0.161554,16,3.455916
-0.26834,37,3.460854
-0.110206,12,3.462531
-0.085951,11,3.464021
-0.123405,24,3.467344
-0.130525,10,3.468781
-0.119401,18,3.471267
-0.342368,54,3.478607
-0.152856,24,3.481964
-0.138377,16,3.484141
-0.101848,13,3.485942
-0.083534,10,3.487289
-0.136583,23,3.490367
-0.316357,31,3.494591
-0.298526,49,3.501221
-0.207811,28,3.504985
-0.12144,16,3.507183
-0.13461,9,3.508383
-0.100867,7,3.509328
-0.079327,10,3.510679
-0.102003,10,3.512039
-0.217742,24,3.515302
-0.185951,16,3.517493
-0.141312,9,3.518729
-0.290091,26,3.52226
-0.176703,14,3.524149
-0.129883,13,3.525918
-0.288924,32,3.530314
-0.196488,23,3.533639
-0.094774,8,3.534758
-0.120228,12,3.536362
-0.141391,17,3.538597
-0.173989,23,3.541703
-0.11442,11,3.543218
-0.134667,10,3.544586
-0.14024,17,3.546872
-0.318431,31,3.551077
-0.161537,17,3.553361
-0.177797,13,3.555148
-0.158321,21,3.557946
-0.092313,10,3.559304
-0.196646,25,3.562775
-0.264364,31,3.567359
-0.088938,9,3.568718
-0.105988,9,3.57002
-0.150092,24,3.573388
-0.188669,24,3.576756
-0.085942,10,3.578229
-0.134652,9,3.579604
-0.152368,16,3.581877
-0.072266,7,3.582857
-0.11544,17,3.585232
-0.144985,15,3.587322
-0.10763,10,3.588707
-0.262027,31,3.592956
-0.105504,10,3.594337
-0.141225,15,3.596384
-0.155794,12,3.598165
-0.215826,29,3.602385
-0.141764,19,3.605027
-0.176893,22,3.607969
-0.1237,14,3.609861
-0.072275,8,3.610972
-0.150069,19,3.613563
-0.114348,12,3.61538
-0.142644,11,3.617041
-0.119489,17,3.619673
-0.260764,34,3.624492
-0.127893,16,3.62682
-0.537141,58,3.635407
-0.297341,41,3.64107
-0.151412,25,3.644479
-0.060107,7,3.645498
-0.348975,47,3.652044
-0.296975,47,3.966343
-0.220964,26,3.969926
-0.126992,12,3.971564
-0.097496,7,3.972558
-0.088856,11,3.974041
-0.109361,13,3.975827
-0.306874,36,3.980753
-0.100392,10,3.982143
-0.290456,27,3.985731
-0.164727,23,3.988829
-0.174597,20,3.991574
-0.086642,8,3.992689
-0.115678,10,3.994041
-0.129968,11,3.995564
-0.188718,24,3.999043
-0.402848,56,4.006696
-0.195395,40,4.012082
-0.129492,14,4.014006
-0.105279,8,4.015164
-0.096749,10,4.016561
-0.140966,23,4.019661
-0.210843,21,4.022504
-0.100269,9,4.023741
-0.211173,21,4.026604
-0.180091,28,4.030463
-0.18816,15,4.032574
-0.198084,14,4.034504
-0.384817,62,4.042808
-0.153993,37,4.04772
-0.159783,22,4.050931
-0.10252,8,4.052061
-0.056906,7,4.053029
-0.223143,25,4.056444
-0.098592,13,4.058196
-0.188122,26,4.061674
-0.204551,20,4.064349
-0.173616,22,4.067373
-0.123581,9,4.068595
-0.255493,19,4.071146
-0.211539,25,4.074481
-0.440779,41,4.080033
-0.190058,31,4.084375
-0.08896,11,4.085886
-0.119831,9,4.087112
-0.14584,14,4.088972
-0.072031,10,4.090342
-0.126689,11,4.091835
-0.183522,17,4.094144
-0.301821,50,4.100898
-0.134163,12,4.102666
-0.102807,10,4.104027
-0.102228,7,4.104983
-0.461091,55,4.112279
-0.109191,8,4.113378
-0.155231,23,4.116687
-0.188193,17,4.119126
-0.092474,9,4.120428
-0.135057,10,4.121792
-0.177568,29,4.125825
-0.124529,14,4.127758
-0.204598,24,4.131062
-0.13132,16,4.133309
-0.202305,19,4.135976
-0.224208,24,4.139298
-0.12269,8,4.14042
-0.156307,16,4.142676
-0.160925,22,4.145798
-0.155846,19,4.148529
-0.233349,29,4.152523
-0.157755,18,4.15494
-0.20367,21,4.157818
-0.14984,15,4.159844
-0.213947,26,4.163399
-0.264303,22,4.166532
-0.147046,11,4.168054
-0.132971,26,4.171644
-0.21283,27,4.175411
-0.094794,7,4.176515
-0.105277,17,4.179032
-0.121801,19,4.181787
-0.203459,18,4.184283
-0.151538,12,4.185965
-0.124816,8,4.18709
