step,inflation,output_gap,interest_rate,E_pi,reward,eps_d,eps_s,shock_active
114,0.4,0.217192,0.06,0.4,-0.306373,0.047192,0.061926,1
115,0.4,0.204209,0.06,0.4,-0.300901,0.034209,0.052282,1
116,0.4,0.190239,0.06,0.4,-0.295391,0.020239,0.043462,1
117,0.4,0.194692,0.06,0.4,-0.297105,0.024692,0.056136,1
118,0.4,0.189452,0.06,0.4,-0.295092,0.019452,0.04514,1
119,0.4,0.174438,0.06,0.4,-0.289629,0.004438,0.043457,1
120,0.4,0.172607,0.06,0.4,-0.288993,0.002607,0.03878,1
121,0.4,0.17281,0.06,0.4,-0.289063,0.00281,0.040325,1
122,0.4,0.165905,0.06,0.4,-0.286725,-0.004095,0.027525,1
123,0.4,0.192168,0.06,0.4,-0.296128,0.022168,0.021641,1
124,0.4,0.184743,0.06,0.4,-0.29333,0.014743,0.049354,1
125,0.4,0.211561,0.06,0.4,-0.303958,0.041561,0.035896,1
126,0.4,0.204146,0.06,0.4,-0.300876,0.034146,0.042953,1
127,0.4,0.215732,0.06,0.4,-0.30574,0.045732,0.033903,1
128,0.4,0.20805,0.06,0.4,-0.302485,0.03805,0.046115,1
129,0.4,0.208113,0.06,0.4,-0.302511,0.038113,0.041908,1
130,0.4,0.203609,0.06,0.4,-0.300657,0.033609,0.029396,1
131,0.4,0.199621,0.06,0.4,-0.299048,0.029621,0.032974,1
132,0.4,0.200592,0.06,0.4,-0.299437,0.030592,0.032231,1
133,0.4,0.203187,0.06,0.4,-0.300485,0.033187,0.047466,1
134,0.4,0.202474,0.06,0.4,-0.300196,0.032474,0.049997,1
135,0.4,0.201157,0.06,0.4,-0.299664,0.031157,0.047999,1
136,0.4,0.194037,0.06,0.4,-0.296851,0.024037,0.049964,1
137,0.4,0.194048,0.06,0.4,-0.296855,0.024048,0.06891,1
138,0.4,0.20742,0.06,0.4,-0.302223,0.03742,0.063205,1
139,0.4,0.19809,0.06,0.4,-0.29844,0.02809,0.044799,1
140,0.4,0.207192,0.06,0.4,-0.302129,0.037192,0.047507,1
141,0.4,0.207876,0.06,0.4,-0.302412,0.037876,0.029058,1
142,0.4,0.211932,0.06,0.4,-0.304115,0.041932,0.039979,1
143,0.4,0.198469,0.06,0.4,-0.29859,0.028469,0.037272,1
144,0.4,0.200038,0.06,0.4,-0.299215,0.030038,0.040888,1
145,0.4,0.196689,0.06,0.4,-0.297887,0.026689,0.041498,1
146,0.4,0.194667,0.06,0.4,-0.297095,0.024667,0.044424,1
147,0.4,0.207039,0.06,0.4,-0.302065,0.037039,0.018988,1
148,0.4,0.202032,0.06,0.4,-0.300017,0.032032,0.031158,1
149,0.4,0.202791,0.06,0.4,-0.300324,0.032791,0.032976,1
150,0.4,0.1869,0.06,0.4,-0.294131,0.0169,0.041065,0
151,0.4,0.195649,0.06,0.4,-0.297478,0.025649,0.009301,0
152,0.4,0.194865,0.06,0.4,-0.297172,0.024865,0.002295,0
153,0.4,0.186915,0.06,0.4,-0.294137,0.016915,-0.009152,0
154,0.4,0.179165,0.06,0.4,-0.2913,0.009165,0.007509,0
155,0.4,0.181076,0.06,0.4,-0.291989,0.011076,0.021829,0
156,0.4,0.187173,0.06,0.4,-0.294234,0.017173,0.017488,0
157,0.4,0.195972,0.06,0.4,-0.297605,0.025972,0.014883,0
158,0.4,0.194805,0.06,0.4,-0.297149,0.024805,0.005964,0
159,0.4,0.187896,0.06,0.4,-0.294505,0.017896,-0.003396,0
160,0.4,0.190444,0.06,0.4,-0.295469,0.020444,-0.013821,0
161,0.4,0.190569,0.06,0.4,-0.295517,0.020569,-0.010199,0
162,0.4,0.193768,0.06,0.4,-0.296746,0.023768,0.001389,0
163,0.4,0.201203,0.06,0.4,-0.299683,0.031203,0.008141,0
164,0.4,0.179266,0.06,0.4,-0.291336,0.009266,0.004215,0
165,0.4,0.16711,0.06,0.4,-0.287126,-0.00289,-0.002654,0
166,0.4,0.180067,0.06,0.4,-0.291624,0.010067,0.004783,0
167,0.4,0.171455,0.06,0.4,-0.288597,0.001455,-0.007267,0
168,0.4,0.171281,0.06,0.4,-0.288537,0.001281,-0.016526,0
169,0.4,0.165528,0.06,0.4,-0.286599,-0.004472,-0.006795,0
170,0.4,0.176112,0.06,0.4,-0.290215,0.006112,0.00201,0
171,0.4,0.155948,0.06,0.4,-0.28352,-0.014052,0.00425,0
172,0.4,0.16074,0.06,0.4,-0.285037,-0.00926,0.006689,0
173,0.4,0.176448,0.06,0.4,-0.290334,0.006448,-0.016619,0
174,0.4,0.169784,0.06,0.4,-0.288027,-0.000216,-0.004062,0
175,0.4,0.157196,0.06,0.4,-0.283911,-0.012804,0.012322,0
176,0.4,0.163984,0.06,0.4,-0.286091,-0.006016,0.015859,0
177,0.4,0.161221,0.06,0.4,-0.285192,-0.008779,0.017653,0
178,0.4,0.172403,0.06,0.4,-0.288923,0.002403,0.012921,0
179,0.4,0.173557,0.06,0.4,-0.289322,0.003557,0.010456,0
180,0.4,0.165583,0.06,0.4,-0.286618,-0.004417,0.004798,0
181,0.4,0.165688,0.06,0.4,-0.286653,-0.004312,0.006713,0
182,0.4,0.17498,0.06,0.4,-0.289818,0.00498,-0.006558,0
183,0.4,0.172486,0.06,0.4,-0.288951,0.002486,0.01088,0
184,0.4,0.165792,0.06,0.4,-0.286687,-0.004208,-0.001695,0
185,0.4,0.168673,0.06,0.4,-0.28765,-0.001327,0.007427,0
186,0.4,0.169162,0.06,0.4,-0.287816,-0.000838,0.017746,0
187,0.4,0.176268,0.06,0.4,-0.29027,0.006268,0.019066,0
188,0.4,0.17882,0.06,0.4,-0.291177,0.00882,0.034716,0
189,0.4,0.174533,0.06,0.4,-0.289662,0.004533,0.000794,0
190,0.4,0.186007,0.06,0.4,-0.293799,0.016007,-0.0041,0
191,0.4,0.182068,0.06,0.4,-0.292349,0.012068,0.010635,0
192,0.4,0.16563,0.06,0.4,-0.286633,-0.00437,-0.006135,0
193,0.4,0.15413,0.06,0.4,-0.282956,-0.01587,-0.011623,0
194,0.4,0.162408,0.06,0.4,-0.285576,-0.007592,-0.001732,0
195,0.4,0.166896,0.06,0.4,-0.287054,-0.003104,-0.015167,0
196,0.4,0.149346,0.06,0.4,-0.281504,-0.020654,-0.008556,0
197,0.4,0.151768,0.06,0.4,-0.282234,-0.018232,-0.00054,0
198,0.4,0.162853,0.06,0.4,-0.285721,-0.007147,0.001058,0
199,0.4,0.171078,0.06,0.4,-0.288468,0.001078,0.002927,0
200,0.4,0.174995,0.06,0.4,-0.289823,0.004995,-0.00529,0
